date,open,high,low,close,volume
2022-07-04,1435.0,1455.0,1340.0,1380.0,8459300
2022-07-05,1380.0,1480.0,1380.0,1475.0,21490900
2022-07-06,1480.0,1490.0,1375.0,1445.0,14712900
2022-07-07,1445.0,1510.0,1440.0,1465.0,26659100
2022-07-08,1495.0,1495.0,1365.0,1365.0,4194900
2022-07-11,1335.0,1335.0,1270.0,1270.0,792100
2022-07-12,1185.0,1245.0,1185.0,1245.0,7428800
2022-07-13,1240.0,1300.0,1240.0,1280.0,10250100
2022-07-14,1280.0,1330.0,1280.0,1315.0,9895900
2022-07-15,1315.0,1355.0,1270.0,1320.0,14776700
2022-07-18,1325.0,1405.0,1320.0,1375.0,16391800
2022-07-19,1375.0,1410.0,1280.0,1355.0,10216600
2022-07-20,1355.0,1465.0,1355.0,1455.0,21969000
2022-07-21,1455.0,1620.0,1445.0,1600.0,20883600
2022-07-22,1605.0,1605.0,1490.0,1490.0,1890600
2022-07-25,1450.0,1455.0,1390.0,1405.0,6859000
2022-07-26,1405.0,1490.0,1405.0,1475.0,14345100
2022-07-27,1475.0,1475.0,1375.0,1375.0,2239900
2022-07-28,1330.0,1385.0,1280.0,1340.0,15853400
2022-07-29,1345.0,1345.0,1250.0,1250.0,15641200
2022-08-01,1210.0,1325.0,1205.0,1325.0,6053100
2022-08-02,1335.0,1400.0,1330.0,1400.0,16258100
2022-08-03,1400.0,1470.0,1400.0,1465.0,16079000
2022-08-04,1465.0,1570.0,1460.0,1550.0,30795100
2022-08-05,1555.0,1685.0,1550.0,1665.0,38051600
2022-08-08,1665.0,1710.0,1665.0,1695.0,13277700
2022-08-09,1700.0,1755.0,1580.0,1580.0,9638600
2022-08-10,1540.0,1540.0,1470.0,1490.0,2200100
2022-08-11,1490.0,1535.0,1430.0,1515.0,13186700
2022-08-12,1520.0,1580.0,1515.0,1570.0,7456500
2022-08-15,1570.0,1685.0,1570.0,1660.0,16177600
2022-08-16,1665.0,1685.0,1545.0,1545.0,14665200
