date,open,high,low,close,volume
2022-07-04,2910.0,2950.0,2890.0,2950.0,34869300
2022-07-05,2940.0,3000.0,2910.0,2930.0,30891900
2022-07-06,2910.0,2970.0,2910.0,2970.0,40511300
2022-07-07,2970.0,2990.0,2940.0,2990.0,16123500
2022-07-08,3000.0,3000.0,2960.0,2980.0,27763700
2022-07-11,2980.0,3000.0,2920.0,2940.0,37154900
2022-07-12,2940.0,2960.0,2870.0,2870.0,27003600
2022-07-13,2890.0,2910.0,2860.0,2900.0,27768200
2022-07-14,2920.0,2980.0,2860.0,2980.0,34488600
2022-07-15,2970.0,3050.0,2960.0,3020.0,44264700
2022-07-18,3020.0,3030.0,2930.0,2980.0,31551400
2022-07-19,2980.0,2990.0,2920.0,2990.0,32873200
2022-07-20,2990.0,3050.0,2950.0,3030.0,11636700
2022-07-21,3010.0,3120.0,2990.0,3120.0,16230700
2022-07-22,3130.0,3180.0,3050.0,3150.0,11447800
2022-07-25,3150.0,3210.0,3090.0,3150.0,33095200
2022-07-26,3080.0,3260.0,3080.0,3240.0,66954300
2022-07-27,3200.0,3220.0,3130.0,3180.0,55662400
2022-07-28,3180.0,3180.0,3070.0,3090.0,48356100
2022-07-29,3090.0,3140.0,3030.0,3070.0,54370500
2022-08-01,3100.0,3110.0,2990.0,3040.0,32626200
2022-08-02,3040.0,3160.0,3040.0,3100.0,44100800
2022-08-03,3110.0,3190.0,3090.0,3100.0,22139100
2022-08-04,3100.0,3190.0,3100.0,3180.0,29601000
2022-08-05,3170.0,3190.0,3100.0,3120.0,30543400
2022-08-08,3190.0,3190.0,2950.0,3020.0,142138500
2022-08-09,3020.0,3050.0,2980.0,3010.0,43013300
2022-08-10,3090.0,3090.0,2950.0,2970.0,57070800
2022-08-11,2960.0,3020.0,2950.0,2950.0,75254900
2022-08-12,2950.0,3020.0,2950.0,3000.0,38297400
2022-08-15,3020.0,3050.0,2980.0,2990.0,23680200
2022-08-16,2990.0,3010.0,2960.0,2990.0,29596600
2022-08-18,3020.0,3040.0,2960.0,2960.0,36088000
2022-08-19,2970.0,2990.0,2950.0,2950.0,13975100
2022-08-22,2950.0,2980.0,2870.0,2980.0,34826500
2022-08-23,2980.0,3000.0,2950.0,2950.0,25337400
2022-08-24,2910.0,2970.0,2860.0,2950.0,28131600
2022-08-25,2950.0,2980.0,2920.0,2920.0,11332500
2022-08-26,2920.0,2970.0,2910.0,2910.0,14110000
2022-08-29,2900.0,2920.0,2870.0,2880.0,14419000
2022-08-30,2880.0,2940.0,2880.0,2890.0,12408500
2022-08-31,2890.0,2910.0,2820.0,2820.0,68306900
