date,open,high,low,close,volume
2022-07-04,885.0,887.5,842.5,887.5,20400
2022-07-05,875.0,887.5,852.5,887.5,13400
2022-07-06,887.5,887.5,830.0,847.5,15800
2022-07-07,847.5,875.0,817.5,875.0,15400
2022-07-08,840.0,875.0,840.0,875.0,1400
2022-07-11,872.5,875.0,840.0,875.0,5600
2022-07-12,875.0,875.0,857.5,872.5,3600
2022-07-13,872.5,875.0,812.5,875.0,64000
2022-07-14,875.0,875.0,830.0,875.0,29200
2022-07-15,850.0,872.5,835.0,872.5,31000
2022-07-18,872.5,872.5,872.5,872.5,0
2022-07-19,865.0,872.5,832.5,835.0,39200
2022-07-20,835.0,852.5,825.0,830.0,24600
2022-07-21,830.0,847.5,802.5,847.5,23600
2022-07-22,830.0,830.0,800.0,802.5,169600
2022-07-25,807.5,847.5,800.0,800.0,93200
2022-07-26,800.0,810.0,792.5,810.0,22600
2022-07-27,810.0,822.5,800.0,822.5,39400
2022-07-28,822.5,822.5,800.0,815.0,186400
2022-07-29,822.5,822.5,800.0,815.0,61000
2022-08-01,815.0,825.0,800.0,815.0,41200
2022-08-02,800.0,807.5,800.0,807.5,18200
2022-08-03,807.5,812.5,792.5,812.5,20400
2022-08-04,807.5,810.0,795.0,810.0,11600
2022-08-05,795.0,807.5,775.0,805.0,8600
2022-08-08,805.0,805.0,787.5,805.0,16600
2022-08-09,805.0,812.5,787.5,807.5,37800
2022-08-10,800.0,807.5,795.0,800.0,11600
2022-08-11,800.0,810.0,795.0,800.0,5800
2022-08-12,807.5,810.0,800.0,800.0,92200
2022-08-15,800.0,800.0,800.0,800.0,5600
2022-08-16,800.0,810.0,795.0,795.0,12000
2022-08-18,795.0,802.5,792.5,800.0,31800
2022-08-19,800.0,805.0,787.5,802.5,79400
2022-08-22,802.5,802.5,795.0,802.5,4200
2022-08-23,805.0,805.0,787.5,800.0,7400
2022-08-24,800.0,800.0,800.0,800.0,11800
2022-08-25,800.0,800.0,800.0,800.0,600
2022-08-26,797.5,800.0,797.5,800.0,2800
2022-08-29,800.0,800.0,785.0,785.0,2200
2022-08-30,802.5,802.5,795.0,800.0,59400
2022-08-31,800.0,805.0,790.0,805.0,4400
2022-09-01,807.5,807.5,785.0,797.5,8600
2022-09-02,797.5,802.5,792.5,797.5,2000
