date,open,high,low,close,volume
2024-02-27,158.0,162.0,122.0,153.0,947965200
2024-02-28,153.0,173.0,123.0,125.0,599989100
2024-02-29,126.0,136.0,110.0,112.0,115169900
2024-03-01,114.0,133.0,114.0,132.0,186843500
2024-03-04,132.0,137.0,118.0,123.0,104660600
2024-03-05,116.0,130.0,116.0,121.0,40742000
2024-03-06,123.0,127.0,122.0,125.0,27386700
2024-03-07,126.0,131.0,125.0,129.0,33743000
2024-03-08,130.0,133.0,126.0,126.0,22814400
2024-03-13,126.0,130.0,126.0,128.0,19447800
2024-03-14,128.0,134.0,125.0,131.0,23961600
2024-03-15,132.0,133.0,126.0,129.0,16115400
2024-03-18,129.0,134.0,127.0,131.0,22967200
2024-03-19,132.0,145.0,130.0,138.0,82488600
2024-03-20,138.0,149.0,137.0,141.0,68428300
2024-03-21,143.0,165.0,143.0,160.0,74493200
2024-03-22,161.0,168.0,146.0,150.0,66672000
2024-03-25,150.0,150.0,150.0,150.0,0
2024-03-26,150.0,150.0,150.0,150.0,0
2024-03-27,170.0,174.0,150.0,168.0,38776800
2024-03-28,169.0,171.0,159.0,160.0,25770800
2024-04-01,150.0,170.0,150.0,169.0,18966400
2024-04-02,169.0,175.0,164.0,171.0,16901700
2024-04-03,170.0,216.0,167.0,193.0,93237100
2024-04-04,193.0,202.0,183.0,191.0,21135600
2024-04-05,191.0,202.0,185.0,193.0,27223900
2024-04-16,192.0,210.0,185.0,202.0,33209000
2024-04-17,202.0,230.0,200.0,226.0,44615000
2024-04-18,228.0,238.0,222.0,222.0,25475300
2024-04-19,222.0,238.0,220.0,232.0,13505200
2024-04-22,232.0,250.0,230.0,244.0,24021300
2024-04-23,244.0,260.0,232.0,250.0,21460500
2024-04-24,252.0,252.0,220.0,226.0,21198700
2024-04-25,226.0,258.0,226.0,256.0,39309600
2024-04-26,256.0,262.0,244.0,258.0,18748300
2024-04-29,256.0,280.0,256.0,274.0,17509300
2024-04-30,274.0,286.0,268.0,284.0,55815800
2024-05-02,284.0,292.0,278.0,278.0,20797200
2024-05-03,280.0,292.0,268.0,292.0,37206600
2024-05-06,294.0,304.0,286.0,294.0,27471000
2024-05-07,294.0,308.0,292.0,306.0,52443600
2024-05-08,306.0,316.0,302.0,316.0,15795600
2024-05-13,316.0,326.0,314.0,326.0,11944000
2024-05-14,328.0,332.0,320.0,324.0,41924400
2024-05-15,322.0,334.0,320.0,334.0,51306800
2024-05-16,334.0,348.0,332.0,344.0,25144100
2024-05-17,344.0,350.0,336.0,348.0,38374100
2024-05-20,348.0,350.0,332.0,338.0,37284200
2024-05-21,338.0,352.0,336.0,352.0,27807300
2024-05-22,354.0,364.0,350.0,360.0,22544200
2024-05-27,360.0,366.0,358.0,366.0,33456100
2024-05-28,366.0,370.0,364.0,368.0,24953800
2024-05-29,368.0,372.0,364.0,370.0,11190700
2024-05-30,370.0,370.0,360.0,368.0,17767000
2024-05-31,358.0,372.0,358.0,370.0,14059300
2024-06-03,370.0,374.0,368.0,374.0,36918600
2024-06-04,376.0,384.0,372.0,384.0,45436900
2024-06-05,384.0,388.0,378.0,388.0,11521100
2024-06-06,388.0,404.0,386.0,404.0,21379500
2024-06-07,404.0,414.0,402.0,410.0,14527000
2024-06-10,410.0,418.0,402.0,418.0,37718900
2024-06-11,418.0,420.0,410.0,420.0,23524900
2024-06-12,420.0,420.0,410.0,414.0,10328400
2024-06-13,414.0,422.0,412.0,420.0,23351800
2024-06-14,416.0,422.0,416.0,420.0,6501600
2024-06-19,420.0,430.0,418.0,430.0,11921200
2024-06-20,448.0,448.0,428.0,432.0,9965200
2024-06-21,432.0,432.0,420.0,426.0,38987000
2024-06-24,426.0,434.0,424.0,432.0,23610200
2024-06-25,432.0,438.0,432.0,436.0,9247300
2024-06-26,430.0,438.0,430.0,436.0,5106300
2024-06-27,436.0,442.0,434.0,442.0,9568200
2024-06-28,460.0,460.0,440.0,446.0,12599800
2024-07-01,392.0,456.0,392.0,450.0,47881600
2024-07-02,468.0,468.0,446.0,454.0,20250900
2024-07-03,418.0,464.0,418.0,464.0,13390200
2024-07-04,464.0,478.0,462.0,478.0,8319900
2024-07-05,478.0,484.0,472.0,478.0,9939900
2024-07-08,476.0,482.0,456.0,478.0,40610300
2024-07-09,478.0,490.0,476.0,490.0,8178800
2024-07-10,490.0,510.0,488.0,500.0,10562600
2024-07-11,500.0,520.0,498.0,505.0,16792800
2024-07-12,505.0,515.0,500.0,515.0,7896700
2024-07-15,515.0,525.0,510.0,515.0,10766400
2024-07-16,515.0,520.0,500.0,500.0,12148800
2024-07-17,490.0,525.0,490.0,525.0,12499300
2024-07-18,525.0,540.0,525.0,535.0,10097000
2024-07-19,535.0,545.0,510.0,535.0,18011300
2024-07-22,535.0,550.0,530.0,545.0,19219400
2024-07-23,545.0,555.0,545.0,555.0,10371800
2024-07-24,555.0,565.0,550.0,565.0,10168000
2024-07-25,565.0,580.0,560.0,575.0,10242600
2024-07-26,585.0,585.0,570.0,570.0,7594100
2024-07-29,580.0,580.0,565.0,570.0,5361600
2024-07-30,575.0,580.0,570.0,580.0,9333400
2024-07-31,585.0,585.0,575.0,585.0,5975400
2024-08-01,585.0,605.0,580.0,600.0,13493600
2024-08-02,600.0,615.0,595.0,615.0,8227300
2024-08-05,615.0,625.0,610.0,620.0,8158800
2024-08-06,620.0,630.0,615.0,625.0,11376800
2024-08-07,625.0,635.0,620.0,630.0,6308400
2024-08-08,630.0,635.0,625.0,630.0,7331900
2024-08-09,635.0,640.0,630.0,635.0,11180300
2024-08-12,635.0,650.0,635.0,645.0,10426200
2024-08-13,645.0,655.0,640.0,650.0,11362400
2024-08-14,650.0,665.0,650.0,665.0,13751700
2024-08-15,665.0,670.0,660.0,670.0,10457300
2024-08-16,670.0,680.0,665.0,675.0,10940600
2024-08-19,680.0,690.0,675.0,685.0,18974900
2024-08-20,685.0,690.0,680.0,685.0,5979800
2024-08-21,685.0,690.0,515.0,515.0,28563300
2024-08-22,390.0,390.0,388.0,388.0,5454200
2024-08-23,292.0,292.0,292.0,292.0,8537200
2024-08-26,220.0,286.0,220.0,238.0,134397700
2024-08-27,238.0,238.0,238.0,238.0,0
2024-08-28,210.0,244.0,199.0,222.0,55877400
2024-08-29,222.0,230.0,192.0,202.0,73836600
2024-08-30,204.0,204.0,186.0,195.0,26279500
2024-09-02,180.0,206.0,180.0,199.0,32898100
2024-09-03,199.0,200.0,184.0,186.0,24194300
2024-09-04,175.0,202.0,175.0,189.0,42472600
2024-09-05,190.0,199.0,187.0,197.0,29761200
2024-09-06,200.0,214.0,196.0,210.0,20006100
2024-09-09,210.0,230.0,204.0,220.0,51410200
2024-09-10,218.0,218.0,198.0,204.0,19769300
2024-09-11,195.0,212.0,193.0,200.0,32573800
2024-09-12,200.0,204.0,191.0,202.0,6664000
2024-09-13,204.0,236.0,198.0,222.0,31506700
2024-09-17,222.0,250.0,222.0,240.0,77425900
2024-09-18,240.0,242.0,214.0,216.0,32305500
2024-09-19,218.0,230.0,214.0,224.0,13084400
